,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
231,-0.4847,Tue Oct 02 11:30:09 +0000 2018,0.603,0.257,0.14,32,@CNN
232,0.4404,Tue Oct 02 11:22:28 +0000 2018,0.804,0.0,0.196,33,@CNN
233,0.0,Tue Oct 02 11:10:36 +0000 2018,1.0,0.0,0.0,34,@CNN
234,-0.8481,Tue Oct 02 11:01:46 +0000 2018,0.675,0.325,0.0,35,@CNN
235,0.5574,Tue Oct 02 10:52:05 +0000 2018,0.847,0.0,0.153,36,@CNN
236,0.4404,Tue Oct 02 10:44:47 +0000 2018,0.83,0.0,0.17,37,@CNN
237,0.5859,Tue Oct 02 10:27:53 +0000 2018,0.814,0.0,0.186,38,@CNN
238,0.5859,Tue Oct 02 10:20:09 +0000 2018,0.703,0.0,0.297,39,@CNN
239,0.0,Tue Oct 02 10:13:16 +0000 2018,1.0,0.0,0.0,40,@CNN
240,0.8555,Tue Oct 02 10:11:24 +0000 2018,0.615,0.0,0.385,41,@CNN
241,0.4588,Tue Oct 02 09:59:00 +0000 2018,0.833,0.0,0.167,42,@CNN
242,0.3612,Tue Oct 02 09:53:04 +0000 2018,0.857,0.0,0.143,43,@CNN
243,0.0,Tue Oct 02 09:28:07 +0000 2018,1.0,0.0,0.0,44,@CNN
244,0.0,Tue Oct 02 09:18:33 +0000 2018,1.0,0.0,0.0,45,@CNN
245,-0.3597,Tue Oct 02 08:57:53 +0000 2018,0.857,0.143,0.0,46,@CNN
246,0.4019,Tue Oct 02 08:56:03 +0000 2018,0.856,0.0,0.144,47,@CNN
247,-0.6369,Tue Oct 02 08:36:53 +0000 2018,0.766,0.181,0.052,48,@CNN
248,0.4404,Tue Oct 02 08:01:06 +0000 2018,0.775,0.0,0.225,49,@CNN
249,0.7964,Tue Oct 02 08:01:00 +0000 2018,0.717,0.0,0.283,50,@CNN
250,-0.743,Tue Oct 02 07:40:59 +0000 2018,0.717,0.283,0.0,51,@CNN
251,0.4404,Tue Oct 02 07:12:15 +0000 2018,0.873,0.0,0.127,52,@CNN
252,0.2382,Tue Oct 02 07:01:03 +0000 2018,0.866,0.0,0.134,53,@CNN
253,-0.6705,Tue Oct 02 06:57:38 +0000 2018,0.8,0.2,0.0,54,@CNN
254,0.5574,Tue Oct 02 06:31:04 +0000 2018,0.859,0.0,0.141,55,@CNN
255,0.3167,Tue Oct 02 06:16:00 +0000 2018,0.892,0.0,0.108,56,@CNN
256,0.4019,Tue Oct 02 06:11:44 +0000 2018,0.856,0.0,0.144,57,@CNN
257,0.0,Tue Oct 02 05:46:00 +0000 2018,1.0,0.0,0.0,58,@CNN
258,0.0,Tue Oct 02 05:16:00 +0000 2018,1.0,0.0,0.0,59,@CNN
259,-0.296,Tue Oct 02 05:11:55 +0000 2018,0.879,0.121,0.0,60,@CNN
260,0.0,Tue Oct 02 04:53:29 +0000 2018,1.0,0.0,0.0,61,@CNN
261,0.5267,Tue Oct 02 04:46:00 +0000 2018,0.794,0.0,0.206,62,@CNN
262,0.7906,Tue Oct 02 04:31:04 +0000 2018,0.72,0.0,0.28,63,@CNN
263,-0.5859,Tue Oct 02 04:28:23 +0000 2018,0.798,0.202,0.0,64,@CNN
264,0.8402,Tue Oct 02 04:16:00 +0000 2018,0.625,0.0,0.375,65,@CNN
265,0.0,Tue Oct 02 04:02:50 +0000 2018,1.0,0.0,0.0,66,@CNN
266,-0.8342,Tue Oct 02 04:01:05 +0000 2018,0.67,0.33,0.0,67,@CNN
267,-0.0516,Tue Oct 02 03:57:35 +0000 2018,0.656,0.197,0.148,68,@CNN
268,0.0,Tue Oct 02 03:46:03 +0000 2018,1.0,0.0,0.0,69,@CNN
269,0.0,Tue Oct 02 03:31:06 +0000 2018,1.0,0.0,0.0,70,@CNN
